"TestId"	"reliability_tag"	"log.x.spline"	"log.y.spline"	"log.x.lin"	"log.y.lin"	"nboot.fl"	"max_slope.linfit"	"reliable_fit.linfit"	"reliable_fit2.linfit"	"max_slope.spline"	"x.max.spline"	"lambda.spline"	"y0.spline"	"A.spline"	"dY.spline"	"integral.spline"	"reliable_fit.spline"	"reliable_fit2.spline"	"smooth.spline"
"A01"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"0"	"0"	"FALSE"	"FALSE"	"3919.3735980873"	"0.154"	"-0.138039120337934"	"860.922439855334"	"1564.87196926872"	"703.949529413381"	"266.452872462016"	"TRUE"	"FALSE"	"0.75"
"A02"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"0"	"0"	"FALSE"	"FALSE"	"7004.01955301907"	"0.212"	"-0.0195309223792261"	"875.799197243728"	"1621.64710747264"	"745.847910228914"	"183.468208836337"	"TRUE"	"FALSE"	"0.75"
"A03"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"0"	"0"	"FALSE"	"FALSE"	"6740.84907951046"	"0.196"	"-0.0254007178060534"	"855.545951810462"	"1593.40601381396"	"737.860062003495"	"179.575294198342"	"TRUE"	"FALSE"	"0.75"
"A04"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"0"	"0"	"FALSE"	"FALSE"	"7323.84944701427"	"0.208"	"-0.020259885417275"	"908.485898459342"	"1671.74103558885"	"763.255137129508"	"184.854115535282"	"TRUE"	"FALSE"	"0.75"
"A05"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"0"	"0"	"FALSE"	"FALSE"	"6803.22766383879"	"0.21"	"-0.0267149079647568"	"918.659930473584"	"1610.42541030889"	"691.765479835302"	"180.520314184157"	"TRUE"	"FALSE"	"0.75"
"A06"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"0"	"0"	"FALSE"	"FALSE"	"6463.93445233624"	"0.166"	"-0.0469425282660704"	"917.045357816655"	"1599.32717685951"	"682.281819042853"	"173.67885412976"	"TRUE"	"FALSE"	"0.75"
"A07"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"0"	"0"	"FALSE"	"FALSE"	"7673.32791794789"	"0.536"	"0.227380596982958"	"896.485150600578"	"2368.13788119108"	"1471.6527305905"	"649.566333574405"	"TRUE"	"FALSE"	"0.75"
"A08"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"0"	"0"	"FALSE"	"FALSE"	"6276.01135772805"	"0.494"	"0.147414853297392"	"887.204349336269"	"2473.38023105086"	"1586.17588171459"	"675.677510199824"	"TRUE"	"FALSE"	"0.75"
"A09"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"0"	"0"	"FALSE"	"FALSE"	"6191.43653105107"	"0.54"	"0.151354064483641"	"923.364455382019"	"2406.2766428005"	"1482.91218741848"	"665.757560255231"	"TRUE"	"FALSE"	"0.75"
"A10"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"0"	"0"	"FALSE"	"FALSE"	"5547.65185472799"	"0.443"	"0.107300379454154"	"821.847031666516"	"2360.00570063576"	"1538.15866896924"	"659.482500144852"	"TRUE"	"FALSE"	"0.75"
