WELL RESULTS

PROTOCOL NAME,OD600 8h

MEASUREMENT START DATE,10/3/2022  10:44:45 AM,,UTC,2022-10-03T13:44:45+0000
MEASUREMENT END DATE,10/3/2022  6:46:54 PM,,UTC,2022-10-03T21:46:54+0000

Plate,0
Barcode,0

3 OPERATION,ABS (F) - Kinetics
TEMPERATURE(Celsius),30.0

,Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,Plate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Barcode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Well,Time(s),0.0,1772.1,3543.0,5314.0,7084.9,8855.8,10626.7,12397.6,14168.5,15939.4,17710.3,19481.3,21252.3,23023.2,24794.3,26565.7,28337.4
A1,,0.059,0.059,0.058,0.061,0.059,0.059,0.060,0.059,0.060,0.057,0.059,0.057,0.057,0.059,0.059,0.059,0.060
A2,,0.078,0.084,0.089,0.101,0.110,0.126,0.149,0.175,0.210,0.240,0.271,0.295,0.313,0.334,0.359,0.377,0.395
A3,,0.081,0.087,0.090,0.096,0.098,0.104,0.112,0.119,0.134,0.147,0.167,0.186,0.210,0.227,0.242,0.256,0.272
A4,,0.077,0.084,0.087,0.097,0.105,0.114,0.130,0.150,0.173,0.200,0.227,0.258,0.287,0.315,0.338,0.361,0.385
A5,,0.081,0.086,0.090,0.103,0.112,0.123,0.139,0.159,0.181,0.205,0.233,0.268,0.295,0.321,0.352,0.374,0.399
A6,,0.078,0.082,0.084,0.092,0.098,0.110,0.123,0.139,0.158,0.179,0.205,0.232,0.260,0.290,0.316,0.345,0.369
A7,,0.083,0.081,0.081,0.082,0.079,0.081,0.084,0.085,0.086,0.085,0.086,0.088,0.087,0.093,0.094,0.098,0.103
A8,,0.083,0.086,0.086,0.089,0.087,0.086,0.090,0.091,0.092,0.090,0.091,0.091,0.090,0.093,0.095,0.095,0.096
A9,,0.081,0.083,0.083,0.085,0.084,0.081,0.084,0.083,0.083,0.081,0.079,0.080,0.077,0.080,0.078,0.079,0.081
A10,,0.085,0.085,0.085,0.086,0.083,0.081,0.083,0.083,0.082,0.080,0.080,0.081,0.078,0.081,0.079,0.080,0.080
A11,,0.083,0.081,0.082,0.085,0.082,0.082,0.082,0.083,0.085,0.082,0.082,0.084,0.082,0.086,0.086,0.085,0.088
A12,,0.059,0.058,0.056,0.061,0.058,0.057,0.059,0.058,0.059,0.057,0.058,0.058,0.056,0.059,0.058,0.057,0.059
B1,,0.058,0.060,0.057,0.060,0.059,0.056,0.059,0.057,0.060,0.057,0.057,0.058,0.058,0.060,0.058,0.059,0.059
B2,,0.078,0.083,0.088,0.099,0.108,0.123,0.145,0.170,0.204,0.235,0.267,0.292,0.313,0.335,0.345,0.358,0.368
B3,,0.083,0.090,0.092,0.097,0.100,0.106,0.113,0.123,0.139,0.155,0.173,0.192,0.211,0.232,0.251,0.273,0.289
B4,,0.077,0.082,0.086,0.095,0.103,0.111,0.126,0.145,0.170,0.193,0.220,0.254,0.276,0.301,0.319,0.332,0.352
B5,,0.079,0.085,0.093,0.103,0.111,0.124,0.139,0.160,0.184,0.210,0.239,0.268,0.295,0.320,0.343,0.366,0.388
B6,,0.078,0.082,0.089,0.095,0.101,0.110,0.124,0.142,0.163,0.184,0.210,0.240,0.266,0.294,0.315,0.337,0.360
B7,,0.078,0.077,0.080,0.081,0.080,0.079,0.082,0.083,0.083,0.084,0.086,0.089,0.091,0.095,0.100,0.106,0.110
B8,,0.084,0.086,0.082,0.084,0.083,0.083,0.085,0.086,0.088,0.087,0.086,0.087,0.085,0.090,0.090,0.091,0.094
B9,,0.081,0.081,0.082,0.084,0.081,0.079,0.082,0.081,0.081,0.081,0.078,0.080,0.077,0.082,0.080,0.081,0.082
B10,,0.078,0.082,0.082,0.083,0.080,0.080,0.081,0.080,0.081,0.080,0.080,0.081,0.076,0.082,0.079,0.079,0.081
B11,,0.078,0.082,0.078,0.082,0.079,0.078,0.080,0.080,0.081,0.080,0.080,0.080,0.080,0.084,0.082,0.083,0.086
B12,,0.059,0.059,0.056,0.061,0.057,0.057,0.059,0.060,0.059,0.056,0.058,0.058,0.056,0.059,0.059,0.057,0.059
C1,,0.059,0.060,0.056,0.059,0.058,0.056,0.057,0.058,0.060,0.057,0.058,0.057,0.056,0.057,0.058,0.057,0.060
C2,,0.078,0.083,0.090,0.101,0.110,0.129,0.154,0.183,0.225,0.256,0.292,0.322,0.347,0.365,0.369,0.394,0.392
C3,,0.082,0.091,0.093,0.097,0.101,0.105,0.116,0.125,0.138,0.148,0.166,0.184,0.201,0.227,0.250,0.266,0.286
C4,,0.083,0.087,0.090,0.095,0.104,0.114,0.129,0.147,0.171,0.194,0.222,0.247,0.276,0.303,0.325,0.353,0.377
C5,,0.080,0.084,0.090,0.103,0.112,0.124,0.143,0.167,0.189,0.213,0.242,0.273,0.298,0.322,0.340,0.361,0.382
C6,,0.079,0.084,0.085,0.096,0.102,0.112,0.128,0.145,0.168,0.189,0.215,0.244,0.274,0.303,0.324,0.349,0.367
C7,,0.079,0.079,0.080,0.082,0.081,0.080,0.081,0.082,0.086,0.084,0.087,0.090,0.093,0.099,0.103,0.107,0.112
C8,,0.093,0.113,0.117,0.116,0.112,0.108,0.111,0.108,0.101,0.096,0.090,0.092,0.092,0.095,0.096,0.097,0.106
C9,,0.083,0.098,0.099,0.097,0.092,0.092,0.093,0.090,0.087,0.083,0.082,0.082,0.081,0.081,0.082,0.081,0.082
C10,,0.083,0.086,0.085,0.086,0.083,0.083,0.085,0.083,0.086,0.082,0.083,0.082,0.082,0.083,0.083,0.082,0.083
C11,,0.081,0.082,0.082,0.082,0.081,0.082,0.084,0.084,0.086,0.083,0.084,0.085,0.085,0.089,0.091,0.092,0.095
C12,,0.057,0.058,0.057,0.058,0.056,0.056,0.058,0.058,0.058,0.057,0.058,0.059,0.056,0.058,0.057,0.056,0.058
D1,,0.059,0.059,0.058,0.061,0.058,0.058,0.060,0.059,0.059,0.058,0.056,0.059,0.057,0.060,0.060,0.058,0.060
D2,,0.074,0.079,0.086,0.096,0.105,0.121,0.143,0.169,0.204,0.239,0.279,0.314,0.342,0.367,0.386,0.400,0.414
D3,,0.076,0.084,0.084,0.088,0.092,0.096,0.103,0.112,0.120,0.129,0.145,0.160,0.181,0.209,0.230,0.250,0.272
D4,,0.071,0.077,0.082,0.090,0.097,0.109,0.125,0.146,0.173,0.194,0.222,0.251,0.277,0.307,0.325,0.343,0.361
D5,,0.075,0.081,0.086,0.094,0.101,0.114,0.129,0.144,0.165,0.183,0.206,0.233,0.262,0.295,0.323,0.346,0.372
D6,,0.079,0.081,0.086,0.095,0.102,0.112,0.128,0.145,0.167,0.187,0.215,0.244,0.272,0.301,0.321,0.341,0.360
D7,,0.079,0.083,0.084,0.083,0.083,0.081,0.085,0.086,0.090,0.089,0.094,0.099,0.103,0.111,0.118,0.124,0.131
D8,,0.080,0.080,0.079,0.082,0.081,0.078,0.083,0.083,0.084,0.085,0.085,0.085,0.084,0.090,0.090,0.090,0.093
D9,,0.082,0.085,0.083,0.085,0.080,0.080,0.081,0.080,0.082,0.079,0.078,0.079,0.077,0.080,0.080,0.078,0.080
D10,,0.087,0.093,0.089,0.093,0.089,0.088,0.090,0.088,0.090,0.088,0.087,0.087,0.085,0.089,0.092,0.092,0.094
D11,,0.080,0.086,0.084,0.086,0.083,0.083,0.084,0.082,0.086,0.082,0.082,0.083,0.082,0.087,0.088,0.090,0.094
D12,,0.057,0.057,0.054,0.056,0.057,0.054,0.056,0.059,0.057,0.055,0.056,0.055,0.054,0.057,0.058,0.057,0.056
E1,,0.057,0.057,0.058,0.058,0.056,0.056,0.059,0.057,0.059,0.057,0.057,0.056,0.053,0.058,0.058,0.058,0.058
E2,,0.081,0.087,0.092,0.106,0.118,0.136,0.163,0.193,0.227,0.254,0.283,0.305,0.319,0.336,0.349,0.357,0.372
E3,,0.079,0.084,0.088,0.091,0.094,0.098,0.106,0.115,0.128,0.138,0.153,0.173,0.191,0.213,0.230,0.246,0.266
E4,,0.078,0.082,0.087,0.096,0.108,0.120,0.140,0.166,0.193,0.214,0.240,0.264,0.287,0.308,0.324,0.337,0.352
E5,,0.079,0.085,0.090,0.101,0.111,0.122,0.138,0.158,0.177,0.197,0.226,0.256,0.286,0.315,0.338,0.357,0.379
E6,,0.083,0.084,0.087,0.098,0.104,0.114,0.130,0.150,0.169,0.190,0.215,0.244,0.268,0.292,0.307,0.325,0.341
E7,,0.082,0.081,0.081,0.082,0.082,0.083,0.085,0.088,0.092,0.092,0.098,0.101,0.106,0.115,0.120,0.127,0.136
E8,,0.079,0.080,0.079,0.079,0.080,0.079,0.080,0.083,0.084,0.084,0.083,0.086,0.085,0.091,0.090,0.092,0.093
E9,,0.078,0.082,0.086,0.086,0.083,0.083,0.082,0.082,0.081,0.080,0.078,0.078,0.076,0.079,0.080,0.081,0.081
E10,,0.081,0.083,0.082,0.084,0.082,0.083,0.083,0.083,0.085,0.082,0.083,0.081,0.081,0.083,0.085,0.085,0.088
E11,,0.081,0.084,0.082,0.083,0.083,0.081,0.082,0.081,0.082,0.080,0.082,0.081,0.080,0.085,0.085,0.086,0.087
E12,,0.058,0.056,0.055,0.058,0.055,0.055,0.056,0.057,0.057,0.054,0.056,0.055,0.054,0.056,0.057,0.056,0.057
F1,,0.057,0.057,0.057,0.058,0.056,0.055,0.056,0.057,0.058,0.057,0.057,0.056,0.054,0.058,0.058,0.057,0.057
F2,,0.079,0.084,0.092,0.104,0.115,0.132,0.159,0.189,0.224,0.256,0.289,0.319,0.337,0.355,0.367,0.379,0.389
F3,,0.078,0.085,0.089,0.093,0.095,0.102,0.111,0.119,0.132,0.144,0.160,0.181,0.203,0.227,0.247,0.267,0.286
F4,,0.077,0.082,0.085,0.095,0.106,0.116,0.137,0.160,0.187,0.211,0.242,0.267,0.294,0.318,0.336,0.353,0.372
F5,,0.086,0.091,0.096,0.098,0.107,0.120,0.138,0.157,0.182,0.207,0.235,0.266,0.294,0.323,0.345,0.365,0.384
F6,,0.081,0.085,0.088,0.097,0.104,0.113,0.131,0.147,0.168,0.191,0.216,0.243,0.270,0.298,0.321,0.340,0.366
F7,,0.078,0.077,0.079,0.080,0.078,0.080,0.082,0.083,0.089,0.089,0.093,0.096,0.101,0.110,0.115,0.123,0.131
F8,,0.076,0.081,0.079,0.082,0.079,0.080,0.082,0.082,0.084,0.083,0.083,0.087,0.085,0.088,0.089,0.089,0.092
F9,,0.078,0.081,0.078,0.082,0.080,0.079,0.081,0.083,0.080,0.080,0.081,0.080,0.079,0.082,0.082,0.082,0.081
F10,,0.078,0.081,0.081,0.083,0.081,0.081,0.082,0.083,0.082,0.081,0.081,0.083,0.081,0.083,0.086,0.087,0.090
F11,,0.080,0.081,0.084,0.086,0.084,0.083,0.085,0.084,0.086,0.084,0.083,0.087,0.086,0.090,0.091,0.093,0.096
F12,,0.057,0.057,0.055,0.058,0.054,0.054,0.057,0.057,0.056,0.053,0.056,0.056,0.054,0.056,0.055,0.056,0.057
G1,,0.059,0.057,0.059,0.059,0.058,0.059,0.057,0.059,0.058,0.057,0.057,0.058,0.055,0.059,0.057,0.057,0.057
G2,,0.049,0.049,0.048,0.050,0.047,0.049,0.051,0.049,0.049,0.048,0.050,0.049,0.049,0.052,0.052,0.053,0.055
G3,,0.054,0.052,0.053,0.054,0.052,0.050,0.054,0.052,0.054,0.053,0.053,0.051,0.050,0.053,0.053,0.051,0.053
G4,,0.050,0.049,0.049,0.048,0.046,0.048,0.048,0.047,0.048,0.047,0.047,0.047,0.045,0.049,0.048,0.048,0.049
G5,,0.050,0.047,0.047,0.048,0.046,0.046,0.049,0.047,0.050,0.046,0.047,0.047,0.046,0.048,0.048,0.047,0.048
G6,,0.050,0.049,0.048,0.050,0.049,0.049,0.050,0.051,0.051,0.049,0.048,0.050,0.047,0.050,0.049,0.049,0.050
G7,,0.049,0.051,0.050,0.050,0.049,0.048,0.051,0.051,0.051,0.049,0.048,0.049,0.048,0.050,0.049,0.047,0.052
G8,,0.049,0.048,0.049,0.050,0.047,0.047,0.048,0.048,0.050,0.047,0.049,0.048,0.047,0.050,0.049,0.050,0.050
G9,,0.052,0.053,0.051,0.052,0.049,0.050,0.050,0.050,0.051,0.050,0.051,0.050,0.049,0.052,0.052,0.050,0.050
G10,,0.052,0.049,0.049,0.051,0.048,0.047,0.049,0.050,0.051,0.049,0.048,0.049,0.048,0.051,0.049,0.049,0.049
G11,,0.053,0.051,0.051,0.053,0.050,0.052,0.053,0.051,0.053,0.052,0.051,0.052,0.049,0.052,0.052,0.053,0.053
G12,,0.057,0.057,0.056,0.057,0.056,0.055,0.056,0.057,0.058,0.056,0.055,0.056,0.055,0.058,0.057,0.056,0.056
H1,,0.059,0.057,0.056,0.058,0.056,0.053,0.057,0.056,0.057,0.055,0.055,0.056,0.054,0.058,0.055,0.056,0.058
H2,,0.047,0.048,0.045,0.048,0.046,0.045,0.048,0.047,0.048,0.048,0.048,0.048,0.048,0.050,0.051,0.052,0.053
H3,,0.048,0.048,0.047,0.050,0.047,0.046,0.047,0.049,0.049,0.048,0.049,0.047,0.046,0.049,0.049,0.048,0.049
H4,,0.050,0.049,0.048,0.050,0.049,0.047,0.049,0.049,0.049,0.047,0.048,0.049,0.048,0.051,0.049,0.049,0.050
H5,,0.049,0.050,0.049,0.050,0.048,0.048,0.049,0.049,0.051,0.047,0.047,0.047,0.046,0.049,0.050,0.048,0.048
H6,,0.050,0.050,0.048,0.051,0.048,0.046,0.049,0.050,0.050,0.049,0.049,0.048,0.047,0.048,0.048,0.048,0.049
H7,,0.050,0.050,0.050,0.052,0.050,0.049,0.051,0.051,0.051,0.050,0.050,0.050,0.049,0.051,0.050,0.049,0.051
H8,,0.050,0.050,0.050,0.052,0.050,0.047,0.050,0.050,0.050,0.050,0.048,0.048,0.048,0.050,0.051,0.050,0.050
H9,,0.052,0.052,0.051,0.052,0.050,0.048,0.052,0.052,0.052,0.051,0.052,0.050,0.050,0.052,0.052,0.049,0.051
