time;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440
;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3
;90;70;50;25;20;15;10;5;2;1;0;90;70;50;25;20;15;10;5;2;1;0;90;70;50;25;20;15;10;5;2;1;0
0.00;0.087116836;0.064009627;0.07171203;0.056307224;0.040319385;0.022399658;0.029348812;0.033200014;0.025497611;0.029348812;0.029348812;0.079414433;0.056307224;0.056307224;0.04860482;0.035839453;0.017919727;0.029348812;0.033200014;0.025497611;0.029348812;0.025497611;0.090968038;0.064009627;0.060158425;0.056307224;0.040319385;0.017919727;0.029348812;0.029348812;0.029348812;0.029348812;0.029348812
0.25;0.086718436;0.067462428;0.075164831;0.055908823;0.040319385;0.044799317;0.032801614;0.02509921;0.02509921;0.032801614;0.028950412;0.079016033;0.055908823;0.055908823;0.044355219;0.040319385;0.040319385;0.02509921;0.028950412;0.021248009;0.02509921;0.02509921;0.090569638;0.067462428;0.063611227;0.055908823;0.044799317;0.044799317;0.028950412;0.028950412;0.02509921;0.02509921;0.021248009
0.50;0.082867235;0.067462428;0.07131363;0.055908823;0.040319385;0.040319385;0.032801614;0.032801614;0.021248009;0.036652815;0.036652815;0.079016033;0.052057622;0.055908823;0.044355219;0.040319385;0.040319385;0.02509921;0.028950412;0.021248009;0.028950412;0.02509921;0.090569638;0.067462428;0.063611227;0.055908823;0.044799317;0.044799317;0.028950412;0.032801614;0.02509921;0.02509921;0.021248009
0.75;0.082734435;0.063478427;0.07118083;0.055776023;0.044799317;0.040319385;0.051924822;0.04807362;0.032668814;0.040371217;0.04807362;0.078883233;0.055776023;0.055776023;0.044222418;0.044799317;0.035839453;0.051924822;0.036520015;0.028817612;0.036520015;0.032668814;0.090436838;0.063478427;0.063478427;0.055776023;0.049279249;0.040319385;0.02496641;0.036520015;0.036520015;0.032668814;0.036520015
1.00;0.082867235;0.059760025;0.07131363;0.055908823;0.049279249;0.044799317;0.059760025;0.021248009;0.052057622;0.052057622;0.052057622;0.079016033;0.052057622;0.052057622;0.04820642;0.044799317;0.040319385;0.055908823;0.040504017;0.036652815;0.036652815;0.036652815;0.090569638;0.063611227;0.059760025;0.052057622;0.05375918;0.044799317;0.044355219;0.044355219;0.028950412;0.044355219;0.04820642
1.25;0.082734435;0.063478427;0.07118083;0.055776023;0.049279249;0.049279249;0.07118083;0.051924822;0.055776023;0.051924822;0.04807362;0.075032031;0.04807362;0.051924822;0.044222418;0.044799317;0.040319385;0.055776023;0.051924822;0.04807362;0.04807362;0.04807362;0.090436838;0.063478427;0.059627225;0.051924822;0.049279249;0.049279249;0.04807362;0.059627225;0.032668814;0.04807362;0.04807362
1.50;0.086585636;0.059627225;0.07118083;0.051924822;0.05375918;0.05375918;0.078883233;0.067329628;0.063478427;0.051924822;0.055776023;0.078883233;0.04807362;0.051924822;0.044222418;0.044799317;0.044799317;0.055776023;0.051924822;0.051924822;0.055776023;0.055776023;0.090436838;0.059627225;0.059627225;0.051924822;0.058239112;0.05375918;0.04807362;0.067329628;0.055776023;0.04807362;0.044222418
1.75;0.086851236;0.056041623;0.07144643;0.052190422;0.049279249;0.049279249;0.083000035;0.079148833;0.07144643;0.059892825;0.052190422;0.075297631;0.04833922;0.052190422;0.044488019;0.044799317;0.049279249;0.079148833;0.07144643;0.063744027;0.063744027;0.056041623;0.090702438;0.07144643;0.059892825;0.052190422;0.058239112;0.058239112;0.059892825;0.075297631;0.067595228;0.052190422;0.036785615
