Time	pSEVA634-GFP	pSEVA634r-GFP	pSEVA634rk-GFP	pSEVA634-GFP	pSEVA634r-GFP	pSEVA634rk-GFP	pSEVA634-GFP	pSEVA634r-GFP	pSEVA634rk-GFP	pSEVA634-GFP	pSEVA634r-GFP	pSEVA634rk-GFP	pSEVA634-GFP	pSEVA634r-GFP	pSEVA634rk-GFP	pSEVA634-GFP	pSEVA634r-GFP	pSEVA634rk-GFP	pSEVA634-GFP	pSEVA634r-GFP	pSEVA634rk-GFP	Blank	Blank	Blank
																								
	0	0	0	0.01	0.01	0.01	0.05	0.05	0.05	0.1	0.1	0.1	0.2	0.2	0.2	0.5	0.5	0.5	1	1	1			
0	60	33	78	74	28	82	73	33	79	71	31	85	84	31	78	71	32	77	80	38	68	15	17	15
0.5	68	41	77	59	42	80	74	36	67	78	32	73	82	27	77	80	37	83	81	36	79	14	23	12
1	77	36	74	66	39	80	70	30	75	96	35	79	91	35	94	83	24	85	92	37	93	15	13	12
1.5	74	39	80	75	43	78	79	26	89	98	30	94	111	33	105	96	24	96	107	46	95	22	14	9
2	68	40	80	80	37	86	73	39	96	103	52	120	112	47	118	109	31	120	114	40	131	14	13	8
2.5	81	34	84	82	31	98	93	29	113	112	32	140	121	45	139	122	47	134	129	47	157	10	9	15
3	66	32	81	78	41	100	96	37	111	125	36	155	152	47	165	146	37	160	143	43	188	11	11	16
3.5	71	40	88	82	36	113	105	33	140	149	47	181	166	40	190	164	40	188	163	53	183	25	11	14
4	87	29	95	91	39	118	111	43	155	178	47	213	194	48	227	194	41	226	186	49	234	17	6	15
4.5	77	38	99	92	43	127	141	31	178	207	42	262	240	41	251	228	46	258	214	49	261	11	22	19
5	80	34	112	90	44	140	146	41	205	247	51	292	261	48	298	265	54	312	276	39	304	18	14	7
5.5	79	50	125	104	47	163	181	48	239	276	59	341	315	59	359	303	60	370	308	52	364	23	6	14
6	85	49	138	100	46	166	203	45	279	320	63	398	374	62	414	360	64	421	354	66	415	28	9	19
