Time	pSEVA634-GFP	pSEVA634r-GFP	pSEVA634rk-GFP	pSEVA634-GFP	pSEVA634r-GFP	pSEVA634rk-GFP	pSEVA634-GFP	pSEVA634r-GFP	pSEVA634rk-GFP	pSEVA634-GFP	pSEVA634r-GFP	pSEVA634rk-GFP	pSEVA634-GFP	pSEVA634r-GFP	pSEVA634rk-GFP	pSEVA634-GFP	pSEVA634r-GFP	pSEVA634rk-GFP	pSEVA634-GFP	pSEVA634r-GFP	pSEVA634rk-GFP	Blank	Blank	Blank
																								
	0	0	0	0.01	0.01	0.01	0.05	0.05	0.05	0.1	0.1	0.1	0.2	0.2	0.2	0.5	0.5	0.5	1	1	1			
0	0.139	0.118	0.133	0.134	0.118	0.135	0.138	0.112	0.134	0.133	0.116	0.138	0.143	0.114	0.138	0.133	0.117	0.135	0.138	0.117	0.133	0.103	0.099	0.096
0.5	0.141	0.119	0.136	0.133	0.118	0.137	0.136	0.112	0.136	0.134	0.114	0.141	0.143	0.113	0.14	0.134	0.116	0.138	0.139	0.117	0.135	0.102	0.099	0.096
1	0.142	0.118	0.14	0.136	0.116	0.139	0.138	0.111	0.137	0.135	0.115	0.142	0.144	0.113	0.142	0.135	0.116	0.14	0.14	0.116	0.138	0.103	0.097	0.095
1.5	0.143	0.116	0.143	0.138	0.116	0.143	0.14	0.111	0.141	0.136	0.114	0.146	0.146	0.113	0.146	0.136	0.116	0.144	0.142	0.116	0.141	0.102	0.097	0.095
2	0.144	0.117	0.147	0.139	0.117	0.148	0.142	0.111	0.145	0.14	0.114	0.152	0.153	0.113	0.15	0.138	0.116	0.148	0.144	0.117	0.152	0.102	0.096	0.094
2.5	0.145	0.118	0.152	0.14	0.117	0.152	0.143	0.111	0.153	0.143	0.115	0.155	0.154	0.115	0.157	0.141	0.117	0.154	0.145	0.117	0.155	0.101	0.096	0.095
3	0.145	0.117	0.159	0.14	0.117	0.159	0.143	0.112	0.155	0.144	0.115	0.161	0.152	0.114	0.161	0.144	0.116	0.16	0.145	0.117	0.164	0.1	0.096	0.094
3.5	0.144	0.117	0.166	0.141	0.117	0.168	0.142	0.114	0.163	0.143	0.115	0.169	0.153	0.115	0.169	0.142	0.117	0.167	0.147	0.118	0.165	0.1	0.096	0.094
